period,date,digit_0,digit_1,digit_2,number_str,sum,sales,prizes
2017-10-26,2017292,7,1,5,715,13,9296,0
2017-10-27,2017293,6,6,9,669,21,20842,20384
2017-10-28,2017294,7,5,7,757,19,12457,16615
2017-10-29,2017295,7,2,3,723,12,16577,0
2017-10-30,2017296,9,5,9,959,23,10944,11192
2017-10-31,2017297,4,6,2,462,12,15153,0
2017-11-01,2017298,2,1,8,218,11,30079,0
2017-11-02,2017299,9,2,1,921,12,17617,0
2017-11-03,2017300,0,5,0,050,5,7951,11323
2017-11-04,2017301,3,9,1,391,13,10215,0
2017-11-05,2017302,2,4,1,241,7,9208,0
2017-11-06,2017303,4,9,7,497,20,18493,0
2017-11-07,2017304,1,0,9,109,10,23991,0
2017-11-08,2017305,4,2,0,420,6,16427,0
2017-11-09,2017306,8,1,7,817,16,16932,0
2017-11-10,2017307,5,1,7,517,13,9417,0
2017-11-11,2017308,7,1,0,710,8,7086,0
2017-11-12,2017309,8,7,9,879,24,16500,0
2017-11-13,2017310,1,3,6,136,10,11584,0
2017-11-14,2017311,9,7,9,979,25,18429,16671
2018-08-29,2018234,9,5,3,953,17,12443,0
2018-08-30,2018235,8,2,8,828,18,29863,27124
2018-08-31,2018236,6,4,2,642,12,23241,0
2018-09-01,2018237,6,3,1,631,10,21170,0
2018-09-02,2018238,7,2,0,720,9,19640,0
2018-09-03,2018239,7,4,9,749,20,24897,0
2018-09-04,2018240,5,0,6,506,11,29984,0
2018-09-05,2018241,2,1,5,215,8,29849,0
2018-09-06,2018242,6,2,3,623,11,21563,0
2018-09-07,2018243,6,3,9,639,18,21279,0
2018-09-08,2018244,3,6,4,364,13,26478,0
2018-09-09,2018245,3,5,1,351,9,8456,0
2018-09-10,2018246,6,0,3,603,9,10841,0
2018-09-11,2018247,6,2,6,626,14,20967,27488
2018-09-12,2018248,2,5,1,251,8,9833,0
2018-09-13,2018249,6,3,6,636,15,15130,14806
2018-09-14,2018250,5,5,1,551,11,9319,12588
2018-09-15,2018251,9,8,3,983,20,14183,0
2018-09-16,2018252,0,6,7,067,13,18956,0
2018-09-17,2018253,0,9,8,098,17,15459,0
2025-08-05,2025207,2,5,5,255,12,,
2025-08-06,2025208,4,3,2,432,9,,
2025-08-07,2025209,3,8,7,387,18,,
2025-08-08,2025210,5,2,0,520,7,,
2025-08-09,2025211,8,9,7,897,24,,
2025-08-10,2025212,4,5,6,456,15,,
2025-08-11,2025213,3,8,1,381,12,,
2025-08-12,2025214,9,2,0,920,11,,
2025-08-13,2025215,8,5,3,853,16,,
2025-08-14,2025216,6,2,5,625,13,,
2025-08-15,2025217,8,9,4,894,21,,
2025-08-16,2025218,5,2,6,526,13,,
2025-08-17,2025219,9,0,0,900,9,,
2025-08-18,2025220,5,3,6,536,14,,
2025-08-19,2025221,2,9,6,296,17,,
2025-08-20,2025222,0,1,0,010,1,,
2025-08-21,2025223,7,3,6,736,16,,
2025-08-22,2025224,9,9,0,990,18,,
2025-08-23,2025225,8,0,6,806,14,,
2025-08-24,2025226,1,8,0,180,9,,
2025-10-08,2025267,3,9,1,391,13,,
2025-10-09,2025268,6,7,4,674,17,,
2025-10-10,2025269,0,5,5,055,10,,
2025-10-11,2025270,4,0,8,408,12,,
2025-10-12,2025271,7,2,7,727,16,,
2025-10-13,2025272,9,6,7,967,22,,
2025-10-14,2025273,0,4,5,045,9,,
2025-10-15,2025274,5,9,6,596,20,,
2025-10-16,2025275,2,0,3,203,5,,
2025-10-17,2025276,7,1,4,714,12,,
2025-10-18,2025277,0,6,1,061,7,,
2025-10-19,2025278,6,2,9,629,17,,
2025-10-20,2025279,7,5,2,752,14,,
2025-10-21,2025280,4,1,1,411,6,,
2025-10-22,2025281,8,9,7,897,24,,
2025-10-23,2025282,4,1,6,416,11,,
2025-10-24,2025283,6,6,4,664,16,,
2025-10-25,2025284,8,4,4,844,16,,
2025-10-26,2025285,1,7,2,172,10,,
2025-10-27,2025286,8,2,7,827,17,,
2025-11-17,2025307,1,6,4,164,11,,
2025-11-18,2025308,4,4,8,448,16,,
2025-11-19,2025309,1,9,0,190,10,,
2025-11-20,2025310,1,6,9,169,16,,
2025-11-21,2025311,6,4,0,640,10,,
2025-11-22,2025312,6,8,9,689,23,,
2025-11-23,2025313,6,6,4,664,16,,
2025-11-24,2025314,9,1,7,917,17,,
2025-11-25,2025315,7,2,9,729,18,,
2025-11-26,2025316,7,7,5,775,19,,
2025-11-27,2025317,3,0,1,301,4,,
2025-11-28,2025318,4,3,0,430,7,,
2025-11-29,2025319,2,9,4,294,15,,
2025-11-30,2025320,1,2,1,121,4,,
2025-12-01,2025321,8,4,7,847,19,,
2025-12-02,2025322,2,2,6,226,10,,
2025-12-03,2025323,5,5,1,551,11,,
2025-12-04,2025324,6,6,1,661,13,,
2025-12-05,2025325,1,6,5,165,12,,
2025-12-06,2025326,1,8,5,185,14,,
2025-12-27,2025347,1,9,2,192,12,,
2025-12-28,2025348,2,7,8,278,17,,
2025-12-29,2025349,7,4,3,743,14,,
2025-12-30,2025350,5,8,0,580,13,,
2025-12-31,2025351,4,5,2,452,11,,
2026-01-01,2026001,2,9,8,298,19,,
2026-01-02,2026002,5,2,0,520,7,,
2026-01-03,2026003,6,0,1,601,7,,
2026-01-04,2026004,0,1,9,019,10,,
2026-01-05,2026005,4,7,6,476,17,,
2026-01-06,2026006,2,4,4,244,10,,
2026-01-07,2026007,3,5,3,353,11,,
2026-01-08,2026008,2,5,2,252,9,,
2026-01-09,2026009,2,6,5,265,13,,
2026-01-10,2026010,6,6,7,667,19,,
2026-01-11,2026011,6,4,7,647,17,,
2026-01-12,2026012,2,4,1,241,7,,
2026-01-13,2026013,5,1,3,513,9,,
2026-01-14,2026014,0,5,0,050,5,,
2026-01-15,2026015,5,3,2,532,10,,
