period,date,digit_0,digit_1,digit_2,number_str,sum,sales,prizes
2025-12-07,2025327,7,8,9,789,24,,
2025-12-08,2025328,0,4,0,040,4,,
2025-12-09,2025329,5,6,4,564,15,,
2025-12-10,2025330,0,6,2,062,8,,
2025-12-11,2025331,0,5,0,050,5,,
2025-12-12,2025332,8,8,5,885,21,,
2025-12-13,2025333,2,7,3,273,12,,
2025-12-14,2025334,1,9,8,198,18,,
2025-12-15,2025335,0,5,1,051,6,,
2025-12-16,2025336,6,4,1,641,11,,
2025-12-17,2025337,8,7,6,876,21,,
2025-12-18,2025338,6,8,9,689,23,,
2025-12-19,2025339,6,7,6,676,19,,
2025-12-20,2025340,1,3,0,130,4,,
2025-12-21,2025341,9,9,6,996,24,,
2025-12-22,2025342,6,8,1,681,15,,
2025-12-23,2025343,6,4,5,645,15,,
2025-12-24,2025344,6,2,2,622,10,,
2025-12-25,2025345,6,3,0,630,9,,
2025-12-26,2025346,8,9,7,897,24,,
2025-12-27,2025347,1,9,2,192,12,,
2025-12-28,2025348,2,7,8,278,17,,
2025-12-29,2025349,7,4,3,743,14,,
2025-12-30,2025350,5,8,0,580,13,,
2025-12-31,2025351,4,5,2,452,11,,
2026-01-01,2026001,2,9,8,298,19,,
2026-01-02,2026002,5,2,0,520,7,,
2026-01-03,2026003,6,0,1,601,7,,
2026-01-04,2026004,0,1,9,019,10,,
2026-01-05,2026005,4,7,6,476,17,,
2026-01-06,2026006,2,4,4,244,10,,
2026-01-07,2026007,3,5,3,353,11,,
2026-01-08,2026008,2,5,2,252,9,,
2026-01-09,2026009,2,6,5,265,13,,
2026-01-10,2026010,6,6,7,667,19,,
2026-01-11,2026011,6,4,7,647,17,,
2026-01-12,2026012,2,4,1,241,7,,
2026-01-13,2026013,5,1,3,513,9,,
2026-01-14,2026014,0,5,0,050,5,,
2026-01-15,2026015,5,3,2,532,10,,
2026-01-16,2026016,5,8,2,582,15,,
2026-01-17,2026017,9,4,5,945,18,,
2026-01-18,2026018,4,9,4,494,17,,
2026-01-19,2026019,2,2,3,223,7,,
2026-01-20,2026020,6,7,6,676,19,,
2026-01-21,2026021,5,5,9,559,19,,
2026-01-22,2026022,6,7,8,678,21,,
2026-01-23,2026023,7,8,4,784,19,,
2026-01-24,2026024,9,1,1,911,11,,
2026-01-25,2026025,0,2,9,029,11,,
2026-01-26,2026026,0,9,9,099,18,,
2026-01-27,2026027,1,2,6,126,9,,
2026-01-28,2026028,2,7,0,270,9,,
2026-01-29,2026029,0,0,3,003,3,,
2026-01-30,2026030,1,3,4,134,8,,
2026-01-31,2026031,1,4,2,142,7,,
2026-02-01,2026032,4,5,2,452,11,,
2026-02-02,2026033,1,1,9,119,11,,
2026-02-03,2026034,0,5,2,052,7,,
2026-02-04,2026035,2,1,3,213,6,,
